bits/sec rcvd,Run
2669.6115160024,run1.csv
2520.935318403,run1.csv
1304.3186561191,run1.csv
2669.7865615635,run1.csv
2570.0814435422,run1.csv
1306.5192288865,run1.csv
2638.5055030295,run1.csv
2543.2994727023,run1.csv
1300.7343898691,run1.csv
2584.2934759985,run1.csv
2599.3078006096,run1.csv
2546.7232805213,run1.csv
3993.6790623838,run1.csv
3470.1740539412,run1.csv
4513.5977207006,run1.csv
3918.1073091538,run1.csv
495.99576497395,run1.csv
7315.7687394319,run1.csv
2668.0110994443,run1.csv
2665.6521521216,run1.csv
2639.9725515411,run1.csv
3927.3347108718,run1.csv
4311.4263493202,run1.csv
3311.0201291878,run1.csv
3955.2336391013,run1.csv
7462.9445465081,run1.csv
470.92257222991,run1.csv
1242.5609150817,run1.csv
1281.427281261,run1.csv
1295.8435335385,run1.csv
4395.1648115232,run1.csv
4001.3539766853,run1.csv
3479.2034874652,run1.csv
7323.1894208948,run1.csv
3971.3315790903,run1.csv
489.46073069492,run1.csv
2210.3380446739,run2.csv
1417.0523162205,run2.csv
1443.8301221631,run2.csv
2250.7277283144,run2.csv
1447.7769832102,run2.csv
1441.2565353663,run2.csv
2264.8272329842,run2.csv
1428.9491640124,run2.csv
1456.9314502535,run2.csv
325.28470011051,run2.csv
324.75122786761,run2.csv
309.14716476267,run2.csv
3483.1402999636,run2.csv
3306.8277236839,run2.csv
3902.52450242,run2.csv
491.99477601791,run2.csv
469.98904599813,run2.csv
3963.7987908198,run2.csv
2381.257549998,run2.csv
2438.041085728,run2.csv
2467.5279304041,run2.csv
5218.2858603951,run2.csv
3367.4039136408,run2.csv
3228.2010002581,run2.csv
13865.627104378,run2.csv
478.25786576314,run2.csv
463.05390684038,run2.csv
2364.678232949,run2.csv
2376.9689332952,run2.csv
2374.0327520833,run2.csv
4396.269734235,run2.csv
3960.6167122459,run2.csv
3882.0316663391,run2.csv
7112.8791890523,run2.csv
3944.8188486777,run2.csv
3954.8818856347,run2.csv
